 ,,,,,,,,,,,,,
,,,,,,,,,,,,,
Ausgaben,Nebenkosten,absolute Ausgaben,Umsatz,Profit,Multiplikator,EP Verkauft/abbruch,realer Profit,realer Multiplikator,Stock Wert,,,,
"3.592,62 €","525,14 €","4.117,76 €","3.316,00 €","-801,76 €",81%,"2.003,90 €","1.312,10 €",165%,"1.579,97 €",,,,
,,,,,,,,,,,,,
,,,,, ,,,,,,,,
,,,,,,,,,,,,,
ID,Status,EP,listed am,Push,VP,verkauft am,Profit,Multiplikator,verkauft nach,Marke/Art,Typ,Grade,Supplier
23,Verkauft,"4,20 €",11.01.2026,,"14,99 €",15.01.2026,"10,79 €",357%,4,Vintage Dressing,Gürtel,C,Trade Vintage (Fleek)
25,Abbruch,"4,20 €",,,"0,00 €",,"-4,20 €",0%,,Vintage Dressing,Gürtel,C,Trade Vintage (Fleek)
26,Verkauft,"4,20 €",11.01.2026,,"9,99 €",15.01.2026,"5,79 €",238%,4,Vintage Dressing,Gürtel,C,Trade Vintage (Fleek)
27,Verkauft,"4,20 €",01.02.2026,,"12,99 €",13.02.2026,"8,79 €",309%,12,Vintage Dressing,Gürtel,C,Trade Vintage (Fleek)
28,Verkauft,"4,20 €",11.01.2026,,"9,99 €",17.01.2026,"5,79 €",238%,6,Vintage Dressing,Gürtel,C,Trade Vintage (Fleek)
29,Verkauft,"4,20 €",06.01.2026,,"9,99 €",17.01.2026,"5,79 €",238%,11,Vintage Dressing,Gürtel,C,Trade Vintage (Fleek)
30,Verkauft,"6,50 €",06.01.2026,,"9,99 €",13.01.2026,"3,49 €",154%,7,Levis,Denim,A,Vibe Vintage (Fleek)
31,Verkauft,"6,50 €",06.01.2026,,"12,99 €",11.01.2026,"6,49 €",200%,5,Levis,Denim,A,Vibe Vintage (Fleek)
32,Verkauft,"6,50 €",06.01.2026,,"8,49 €",11.01.2026,"1,99 €",131%,5,Levis,Denim,A,Vibe Vintage (Fleek)
33,Verkauft,"6,50 €",06.01.2026,,"8,49 €",13.01.2026,"1,99 €",131%,7,Levis,Denim,A,Vibe Vintage (Fleek)
34,Verkauft,"6,50 €",06.01.2026,,"8,49 €",11.01.2026,"1,99 €",131%,5,Levis,Denim,A,Vibe Vintage (Fleek)
35,Verkauft,"6,50 €",06.01.2026,,"8,49 €",14.01.2026,"1,99 €",131%,8,Levis,Denim,A,Vibe Vintage (Fleek)
36,Verkauft,"6,50 €",06.01.2026,,"9,99 €",06.01.2026,"3,49 €",154%,0,Levis,Denim,A,Vibe Vintage (Fleek)
37,Verkauft,"6,50 €",06.01.2026,,"7,64 €",11.01.2026,"1,14 €",118%,5,Levis,Denim,A,Vibe Vintage (Fleek)
38,Verkauft,"6,50 €",06.01.2026,,"7,64 €",11.01.2026,"1,14 €",118%,5,Levis,Denim,A,Vibe Vintage (Fleek)
39,Listed,"6,50 €",14.02.2026,,,,"-6,50 €",,,Levis,Denim,A,Vibe Vintage (Fleek)
41,Verkauft,"22,80 €",06.01.2026,,"45,00 €",06.01.2026,"22,20 €",197%,0,True Religon,Denim,A,Elegant Vintage (Fleek)
42,Verkauft,"22,80 €",06.01.2026,,"39,99 €",11.01.2026,"17,19 €",175%,5,True Religon,Denim,A,Elegant Vintage (Fleek)
43,Verkauft,"22,80 €",06.01.2026,"1,89 €","49,99 €",14.01.2026,"25,30 €",202%,8,True Religon,Denim,A,Elegant Vintage (Fleek)
44,Verkauft,"22,80 €",06.01.2026,,"40,00 €",06.01.2026,"17,20 €",175%,0,True Religon,Denim,A,Elegant Vintage (Fleek)
45,Verkauft,"22,80 €",06.01.2026,"1,89 €","46,00 €",12.01.2026,"21,31 €",186%,6,True Religon,Denim,A,Elegant Vintage (Fleek)
46,Verkauft,"22,80 €",06.01.2026,,"39,99 €",06.01.2026,"17,19 €",175%,0,True Religon,Denim,A,Elegant Vintage (Fleek)
47,Verkauft,"22,80 €",06.01.2026,,"32,00 €",06.01.2026,"9,20 €",140%,0,True Religon,Denim,A,Elegant Vintage (Fleek)
48,Listed,"22,80 €",11.02.2026,"1,89 €",,,"-24,69 €",,,True Religon,Denim,A,Elegant Vintage (Fleek)
49,Listed,"22,80 €",06.01.2026,"1,78 €",,,"-24,58 €",,,True Religon,Denim,A,Elegant Vintage (Fleek)
51,Listed,"7,57 €",20.01.2026,,,,"-7,57 €",,,"y2k, flared, bootcut",Denim,A,AMR Thrifty Vintage (Fleek)
52,Verkauft,"7,57 €",20.01.2026,,"19,00 €",22.01.2026,"11,43 €",251%,2,"y2k, flared, bootcut",Denim,A,AMR Thrifty Vintage (Fleek)
53,Listed,"7,57 €",20.01.2026,,,,"-7,57 €",,,"y2k, flared, bootcut",Denim,A,AMR Thrifty Vintage (Fleek)
54,Listed,"7,57 €",20.01.2026,,,,"-7,57 €",,,"y2k, flared, bootcut",Denim,A,AMR Thrifty Vintage (Fleek)
55,Verkauft,"7,57 €",01.02.2026,,"14,99 €",05.03.2026,"7,42 €",198%,32,"y2k, flared, bootcut",Denim,A,AMR Thrifty Vintage (Fleek)
56,Listed,"7,57 €",01.02.2026,,,,"-7,57 €",,,"y2k, flared, bootcut",Denim,A,AMR Thrifty Vintage (Fleek)
57,Listed,"7,57 €",01.02.2026,,,,"-7,57 €",,,"y2k, flared, bootcut",Denim,A,AMR Thrifty Vintage (Fleek)
58,Listed,"7,57 €",01.02.2026,,,,"-7,57 €",,,"y2k, flared, bootcut",Denim,A,AMR Thrifty Vintage (Fleek)
59,Verkauft,"7,57 €",01.02.2026,,"17,99 €",02.02.2026,"10,42 €",238%,1,"y2k, flared, bootcut",Denim,A,AMR Thrifty Vintage (Fleek)
60,Verkauft,"7,57 €",16.02.2026,,"19,99 €",16.02.2026,"12,42 €",264%,0,"y2k, flared, bootcut",Denim,A,AMR Thrifty Vintage (Fleek)
61,Listed,"7,57 €",11.02.2026,,,,"-7,57 €",,,"y2k, flared, bootcut",Denim,A,AMR Thrifty Vintage (Fleek)
62,Verkauft,"52,43 €",27.01.2026,"16,07 €","79,00 €",30.01.2026,"10,51 €",115%,3,Asap Rocky,Vinyl,A,anders
63,Verkauft,"52,43 €",01.02.2026,"12,00 €","75,00 €",07.02.2026,"10,58 €",116%,6,Asap Rocky,Vinyl,A,anders
64,Listed,"12,51 €",22.02.2026,,,,"-12,51 €",,,True Religon,Denim,A,Vintage Bliss (Fleek)
65,Listed,"12,51 €",11.02.2026,,,,"-12,51 €",,,True Religon,Denim,A,Vintage Bliss (Fleek)
66,Verkauft,"12,51 €",11.02.2026,,"19,99 €",10.03.2026,"7,48 €",160%,27,True Religon,Denim,A,Vintage Bliss (Fleek)
67,Listed,"12,51 €",11.02.2026,,,,"-12,51 €",,,True Religon,Denim,A,Vintage Bliss (Fleek)
68,Verkauft,"12,51 €",11.02.2026,,"17,99 €",16.02.2026,"5,48 €",144%,5,True Religon,Denim,A,Vintage Bliss (Fleek)
69,Verkauft,"12,51 €",11.02.2026,,"23,50 €",14.02.2026,"10,99 €",188%,3,True Religon,Denim,C,Vintage Bliss (Fleek)
70,Verkauft,"12,51 €",16.02.2026,,"28,99 €",16.02.2026,"16,48 €",232%,0,True Religon,Denim,B,Vintage Bliss (Fleek)
71,Listed,"12,51 €",23.02.2026,,,,"-12,51 €",,,True Religon,Denim,A,Vintage Bliss (Fleek)
72,Listed,"12,51 €",10.02.2026,,,,"-12,51 €",,,True Religon,Denim,A,Vintage Bliss (Fleek)
73,Verkauft,"12,51 €",16.02.2026,,"23,50 €",16.02.2026,"10,99 €",188%,0,True Religon,Denim,A,Vintage Bliss (Fleek)
74,Listed,"12,51 €",22.02.2026,,,,"-12,51 €",,,True Religon,Denim,A,Vintage Bliss (Fleek)
75,Verkauft,"12,51 €",16.02.2026,,"22,00 €",25.02.2026,"9,49 €",176%,9,True Religon,Denim,C,Vintage Bliss (Fleek)
76,Verkauft,"12,51 €",22.02.2026,,"14,99 €",23.02.2026,"2,48 €",120%,1,True Religon,Denim,A,Vintage Bliss (Fleek)
77,Listed,"12,51 €",22.02.2026,,,,"-12,51 €",,,True Religon,Denim,A,Vintage Bliss (Fleek)
78,Verkauft,"12,51 €",10.02.2026,,"22,00 €",27.02.2026,"9,49 €",176%,17,True Religon,Denim,C,Vintage Bliss (Fleek)
79,Verkauft,"12,51 €",23.02.2026,,"27,99 €",23.02.2026,"15,48 €",224%,0,True Religon,Denim,C,Vintage Bliss (Fleek)
80,Listed,"12,51 €",24.02.2026,,,,"-12,51 €",,,True Religon,Denim,A,Vintage Bliss (Fleek)
81,Listed,"12,51 €",23.02.2026,,,,"-12,51 €",,,True Religon,Denim,A,Vintage Bliss (Fleek)
82,Verkauft,"12,51 €",22.02.2026,,"17,24 €",23.02.2026,"4,73 €",138%,1,True Religon,Denim,B,Vintage Bliss (Fleek)
83,Verkauft,"12,51 €",23.02.2026,,"19,99 €",23.02.2026,"7,48 €",160%,0,True Religon,Denim,A,Vintage Bliss (Fleek)
85,Verkauft,"18,16 €",10.02.2026,,"42,99 €",02.04.2026,"24,83 €",237%,51,True Religon,Denim,A,Diamond Vintage (Fleek)
86,Verkauft,"18,16 €",10.02.2026,,"19,99 €",28.02.2026,"1,83 €",110%,18,True Religon,Denim,A,Diamond Vintage (Fleek)
87,Listed,"18,16 €",23.02.2026,,,,"-18,16 €",,,True Religon,Denim,A,Diamond Vintage (Fleek)
88,Verkauft,"18,16 €",03.02.2026,,"35,00 €",03.02.2026,"16,84 €",193%,0,"True Religon, flared",Denim,A,Diamond Vintage (Fleek)
89,Verkauft,"18,16 €",02.02.2026,,"39,99 €",28.02.2026,"21,83 €",220%,26,True Religon,Denim,A,Diamond Vintage (Fleek)
90,Verkauft,"18,16 €",02.02.2026,,"29,99 €",19.02.2026,"11,83 €",165%,17,True Religon,Denim,A,Diamond Vintage (Fleek)
91,Listed,"18,16 €",02.02.2026,,,,"-18,16 €",,,True Religon,Denim,A,Diamond Vintage (Fleek)
92,Listed,"18,16 €",02.02.2026,,,,"-18,16 €",,,True Religon,Denim,A,Diamond Vintage (Fleek)
93,Listed,"18,16 €",02.02.2026,,,,"-18,16 €",,,True Religon,Denim,A,Diamond Vintage (Fleek)
94,Verkauft,"18,16 €",10.02.2026,,"26,50 €",19.02.2026,"8,34 €",146%,9,True Religon,Denim,A,Diamond Vintage (Fleek)
95,Verkauft,"18,16 €",10.02.2026,,"19,79 €",16.02.2026,"1,63 €",109%,6,True Religon,Denim,A,Diamond Vintage (Fleek)
96,Verkauft,"12,76 €",05.02.2026,,"20,50 €",05.02.2026,"7,74 €",161%,0,Miss Me,Denim,A,AMR Thrifty Vintage (Fleek)
97,Verkauft,"12,76 €",05.02.2026,,"23,50 €",05.02.2026,"10,74 €",184%,0,"Miss Me, verziehrt",Denim,A,AMR Thrifty Vintage (Fleek)
98,Verkauft,"12,76 €",05.02.2026,,"19,99 €",05.02.2026,"7,23 €",157%,0,"Miss Me, verziehrt",Denim,C,AMR Thrifty Vintage (Fleek)
100,Verkauft,"12,76 €",03.02.2026,,"20,69 €",16.02.2026,"7,93 €",162%,13,Miss Me,Denim,B,AMR Thrifty Vintage (Fleek)
101,Verkauft,"12,76 €",03.02.2026,,"34,99 €",03.02.2026,"22,23 €",274%,0,"Miss Me, verziehrt, flared",Denim,A,AMR Thrifty Vintage (Fleek)
102,Verkauft,"12,76 €",03.02.2026,,"14,99 €",23.02.2026,"2,23 €",117%,20,Rock Revival,Denim,A,AMR Thrifty Vintage (Fleek)
103,Listed,"12,76 €",03.02.2026,,,,"-12,76 €",,,"Miss Me, verziehrt",Denim,A,AMR Thrifty Vintage (Fleek)
104,Verkauft,"12,76 €",03.02.2026,,"29,99 €",03.02.2026,"17,23 €",235%,0,"Rock Revival, flared",Denim,A,AMR Thrifty Vintage (Fleek)
105,Verkauft,"12,76 €",05.02.2026,,"34,00 €",05.02.2026,"21,24 €",266%,0,"Miss Me, verziehrt",Denim,A,AMR Thrifty Vintage (Fleek)
106,Verkauft,"12,76 €",16.02.2026,,"22,49 €",16.02.2026,"9,73 €",176%,0,Miss Me,Denim,A,AMR Thrifty Vintage (Fleek)
107,Verkauft,"12,76 €",03.02.2026,,"29,99 €",05.02.2026,"17,23 €",235%,2,"Miss Me, flared",Denim,A,AMR Thrifty Vintage (Fleek)
108,Verkauft,"12,76 €",23.02.2026,,"29,99 €",16.03.2026,"17,23 €",235%,21,,Denim,A,AMR Thrifty Vintage (Fleek)
109,Verkauft,"12,76 €",05.02.2026,,"33,00 €",05.02.2026,"20,24 €",259%,0,"Miss Me, flared",Denim,A,AMR Thrifty Vintage (Fleek)
110,Verkauft,"12,76 €",22.02.2026,,"25,00 €",22.02.2026,"12,24 €",196%,0,True Religon,Denim,A,AMR Thrifty Vintage (Fleek)
111,Verkauft,"12,76 €",22.02.2026,,"18,74 €",23.02.2026,"5,98 €",147%,1,Miss Me,Denim,A,AMR Thrifty Vintage (Fleek)
112,Verkauft,"12,76 €",22.02.2026,,"15,50 €",20.03.2026,"2,74 €",121%,26,True Religon,Denim,A,AMR Thrifty Vintage (Fleek)
113,Verkauft,"12,76 €",05.02.2026,,"20,50 €",05.02.2026,"7,74 €",161%,0,True Religon,Denim,A,AMR Thrifty Vintage (Fleek)
114,Verkauft,"12,76 €",05.02.2026,,"20,00 €",01.03.2026,"7,24 €",157%,24,"True Religon, verziehrt",Denim,C,AMR Thrifty Vintage (Fleek)
115,Verkauft,"12,76 €",05.02.2026,,"34,99 €",05.02.2026,"22,23 €",274%,0,True Religon,Denim,A,AMR Thrifty Vintage (Fleek)
116,Listed,"12,76 €",23.02.2026,,,,"-12,76 €",,,True Religon,Denim,A,AMR Thrifty Vintage (Fleek)
117,Listed,"12,76 €",23.02.2026,,,,"-12,76 €",,,True Religon,Denim,A,AMR Thrifty Vintage (Fleek)
118,Verkauft,"12,76 €",23.02.2026,,"21,99 €",20.03.2026,"9,23 €",172%,25,True Religon,Denim,A,AMR Thrifty Vintage (Fleek)
119,Listed,"12,76 €",24.02.2026,,,,"-12,76 €",,,True Religon,Denim,A,AMR Thrifty Vintage (Fleek)
120,Verkauft,"12,76 €",24.02.2026,,"23,74 €",13.03.2026,"10,98 €",186%,17,True Religon,Denim,B,AMR Thrifty Vintage (Fleek)
121,Verkauft,"12,76 €",05.02.2026,,"35,99 €",05.02.2026,"23,23 €",282%,0,True Religon,Denim,A,AMR Thrifty Vintage (Fleek)
122,Listed,"12,76 €",24.02.2026,,,,"-12,76 €",,,True Religon,Denim,A,AMR Thrifty Vintage (Fleek)
"122,2",Listed,"12,76 €",24.02.2026,,,,"-12,76 €",,,True Religon,Denim,C,AMR Thrifty Vintage (Fleek)
123,Listed,"12,76 €",24.02.2026,,,,"-12,76 €",,,,Denim,A,AMR Thrifty Vintage (Fleek)
124,Verkauft,"12,76 €",05.02.2026,,"35,99 €",05.02.2026,"23,23 €",282%,0,True Religon,Denim,A,AMR Thrifty Vintage (Fleek)
125,Verkauft,"12,76 €",24.02.2026,,"22,99 €",28.02.2026,"10,23 €",180%,4,,Denim,A,AMR Thrifty Vintage (Fleek)
126,Verkauft,"12,76 €",22.02.2026,,"18,74 €",23.02.2026,"5,98 €",147%,1,True Religon,Denim,A,AMR Thrifty Vintage (Fleek)
129,Verkauft,"11,55 €",06.02.2026,,"23,74 €",13.03.2026,"12,19 €",206%,35,realtree,Hose anders,B,Vintage Bliss (Fleek)
130,Listed,"11,55 €",06.02.2026,,,,"-11,55 €",,,realtree,Hose anders,B,Vintage Bliss (Fleek)
131,Verkauft,"11,55 €",06.02.2026,,"19,99 €",16.02.2026,"8,44 €",173%,10,realtree,Hose anders,B,Vintage Bliss (Fleek)
132,Verkauft,"11,55 €",06.02.2026,,"19,99 €",10.02.2026,"8,44 €",173%,4,realtree,Hose anders,B,Vintage Bliss (Fleek)
133,Verkauft,"11,55 €",06.02.2026,,"21,00 €",13.02.2026,"9,45 €",182%,7,realtree,Hose anders,B,Vintage Bliss (Fleek)
134,Verkauft,"11,55 €",12.03.2026,,"18,00 €",22.03.2026,"6,45 €",156%,10,realtree,Hose anders,B,Vintage Bliss (Fleek)
135,Verkauft,"11,55 €",20.03.2026,"2,39 €","21,00 €",21.03.2026,"7,06 €",151%,1,realtree,Hose anders,B,Vintage Bliss (Fleek)
136,Verkauft,"11,55 €",06.02.2026,,"15,99 €",31.03.2026,"4,44 €",138%,53,realtree,Hose anders,B,Vintage Bliss (Fleek)
137,Verkauft,"31,90 €",27.01.2026,"15,11 €","60,00 €",29.01.2026,"12,99 €",128%,2,Asap Rocky,Vinyl,A,anders
139,Verkauft,"11,39 €",21.02.2026,,"34,99 €",23.02.2026,"23,60 €",307%,2,"flared, Japan Style",Denim,B,Retro thrift store (Fleek)
140,Listed,"11,39 €",21.02.2026,,,,"-11,39 €",,,"flared, Japan Style",Denim,A,Retro thrift store (Fleek)
141,Listed,"11,39 €",21.02.2026,,,,"-11,39 €",,,"flared, Japan Style",Denim,A,Retro thrift store (Fleek)
142,Listed,"11,39 €",21.02.2026,,,,"-11,39 €",,,"flared, Japan Style",Denim,A,Retro thrift store (Fleek)
143,Listed,"11,39 €",22.02.2026,,,,"-11,39 €",,,"flared, Japan Style",Denim,A,Retro thrift store (Fleek)
144,Verkauft,"11,39 €",22.02.2026,,"19,99 €",22.02.2026,"8,60 €",176%,0,"flared, Japan Style",Denim,A,Retro thrift store (Fleek)
145,Verkauft,"11,39 €",22.02.2026,,"24,99 €",28.02.2026,"13,60 €",219%,6,"flared, Japan Style",Denim,A,Retro thrift store (Fleek)
146,Verkauft,"11,39 €",22.02.2026,,"24,99 €",08.03.2026,"13,60 €",219%,14,"flared, Japan Style",Denim,B,Retro thrift store (Fleek)
147,Listed,"11,39 €",22.02.2026,,,,"-11,39 €",,,"flared, Japan Style",Denim,A,Retro thrift store (Fleek)
148,Listed,"11,39 €",16.02.2026,,,,"-11,39 €",,,"flared, Japan Style",Denim,A,Creed Vintage (Fleek)
149,Verkauft,"11,39 €",16.02.2026,,"24,00 €",16.02.2026,"12,61 €",211%,0,"flared, Japan Style",Denim,B,Creed Vintage (Fleek)
150,Verkauft,"11,39 €",25.02.2026,,"25,50 €",20.03.2026,"14,11 €",224%,23,"flared, Japan Style",Denim,A,Creed Vintage (Fleek)
151,Listed,"11,39 €",25.02.2026,,,,"-11,39 €",,,"flared, Japan Style",Denim,A,Creed Vintage (Fleek)
152,Verkauft,"11,39 €",25.02.2026,,"23,00 €",02.03.2026,"11,61 €",202%,5,"flared, Japan Style",Denim,A,Creed Vintage (Fleek)
153,Listed,"11,39 €",25.02.2026,,,,"-11,39 €",,,"flared, Japan Style",Denim,A,Creed Vintage (Fleek)
154,Verkauft,"11,39 €",25.02.2026,,"27,00 €",14.03.2026,"15,61 €",237%,17,"flared, Japan Style",Denim,A,Creed Vintage (Fleek)
155,Verkauft,"11,39 €",25.02.2026,,"21,00 €",01.03.2026,"9,61 €",184%,4,"flared, Japan Style",Denim,A,Creed Vintage (Fleek)
156,Listed,"11,39 €",27.02.2026,,,,"-11,39 €",,,"flared, Japan Style",Denim,A,Creed Vintage (Fleek)
157,Listed,"11,39 €",27.02.2026,,,,"-11,39 €",,,"flared, Japan Style",Denim,A,Creed Vintage (Fleek)
158,Verkauft,"11,39 €",27.02.2026,,"21,99 €",27.02.2026,"10,60 €",193%,0,"flared, Japan Style",Denim,A,Creed Vintage (Fleek)
159,Listed,"11,39 €",27.02.2026,,,,"-11,39 €",,,"flared, Japan Style",Denim,A,Creed Vintage (Fleek)
160,Listed,"11,39 €",27.02.2026,,,,"-11,39 €",,,"flared, Japan Style",Denim,A,Creed Vintage (Fleek)
161,Verkauft,"11,39 €",27.02.2026,,"21,99 €",28.02.2026,"10,60 €",193%,1,"flared, Japan Style",Denim,A,Creed Vintage (Fleek)
162,Verkauft,"11,39 €",27.02.2026,,"25,00 €",28.02.2026,"13,61 €",219%,1,"flared, Japan Style",Denim,A,Creed Vintage (Fleek)
163,Listed,"11,39 €",27.02.2026,,,,"-11,39 €",,,"flared, Japan Style",Denim,A,Creed Vintage (Fleek)
164,Verkauft,"11,39 €",01.03.2026,,"23,50 €",05.03.2026,"12,11 €",206%,4,"flared, Japan Style",Denim,A,Creed Vintage (Fleek)
165,Listed,"11,39 €",01.03.2026,,,,"-11,39 €",,,"flared, Japan Style",Denim,A,Creed Vintage (Fleek)
166,Listed,"11,39 €",01.03.2026,,,,"-11,39 €",,,"flared, Japan Style",Denim,A,Creed Vintage (Fleek)
167,Listed,"11,39 €",01.03.2026,,,,"-11,39 €",,,"flared, Japan Style",Denim,A,Creed Vintage (Fleek)
168,Listed,"11,39 €",01.03.2026,,,,"-11,39 €",,,"flared, Japan Style",Denim,A,Creed Vintage (Fleek)
169,Verkauft,"11,39 €",01.03.2026,,"21,00 €",02.03.2026,"9,61 €",184%,1,"flared, Japan Style",Denim,A,Creed Vintage (Fleek)
170,Verkauft,"11,39 €",03.03.2026,,"18,99 €",04.03.2026,"7,60 €",167%,1,"flared, Japan Style",Denim,A,Creed Vintage (Fleek)
171,Verkauft,"11,39 €",03.03.2026,,"19,99 €",03.03.2026,"8,60 €",176%,0,"flared, Japan Style",Denim,A,Creed Vintage (Fleek)
172,Listed,"11,39 €",03.03.2026,,,,"-11,39 €",,,"flared, Japan Style",Denim,A,Creed Vintage (Fleek)
173,Verkauft,"11,39 €",03.03.2026,,"14,99 €",03.03.2026,"3,60 €",132%,0,"flared, Japan Style",Denim,A,RVG Loop (Fleek)
174,Verkauft,"11,39 €",03.03.2026,,"22,99 €",06.03.2026,"11,60 €",202%,3,"flared, Japan Style",Denim,A,Fabtex Vintage (Fleek)
175,Verkauft,"11,39 €",03.03.2026,,"22,99 €",06.03.2026,"11,60 €",202%,3,"flared, Japan Style",Denim,A,Fabtex Vintage (Fleek)
176,Listed,"11,39 €",03.03.2026,,,,"-11,39 €",,,"flared, Japan Style",Denim,A,Fabtex Vintage (Fleek)
177,Verkauft,"11,39 €",04.03.2026,,"20,99 €",05.03.2026,"9,60 €",184%,1,"flared, Japan Style",Denim,A,Fabtex Vintage (Fleek)
178,Listed,"11,39 €",04.03.2026,,,,"-11,39 €",,,"flared, Japan Style",Denim,A,Fabtex Vintage (Fleek)
179,Verkauft,"14,11 €",03.03.2026,,"28,99 €",22.03.2026,"14,88 €",205%,19,"flared, Japan Style",Denim,A,TheVintageLux (Fleek)
180,Listed,"14,11 €",03.03.2026,,,,"-14,11 €",,,"flared, Japan Style",Denim,A,IR Thrifty Vintage (Fleek)
181,Listed,"14,11 €",03.03.2026,,,,"-14,11 €",,,"flared, Japan Style",Denim,A,IR Thrifty Vintage (Fleek)
182,Listed,"14,11 €",03.03.2026,,,,"-14,11 €",,,"flared, Japan Style",Denim,A,IR Thrifty Vintage (Fleek)
183,Verkauft,"14,11 €",03.03.2026,,"24,99 €",04.03.2026,"10,88 €",177%,1,Levis,Denim,A,IR Thrifty Vintage (Fleek)
184,Listed,"14,11 €",03.03.2026,,,,"-14,11 €",,,"flared, Japan Style",Denim,A,IR Thrifty Vintage (Fleek)
185,Verkauft,"14,11 €",03.03.2026,,"24,99 €",08.03.2026,"10,88 €",177%,5,"flared, Japan Style",Denim,A,IR Thrifty Vintage (Fleek)
186,Listed,"14,11 €",03.03.2026,,,,"-14,11 €",,,"flared, Japan Style",Denim,A,IR Thrifty Vintage (Fleek)
187,Verkauft,"14,11 €",03.03.2026,,"24,11 €",03.03.2026,"10,00 €",171%,0,"flared, Japan Style",Denim,A,IR Thrifty Vintage (Fleek)
188,Listed,"14,11 €",03.03.2026,,,,"-14,11 €",,,"flared, Japan Style",Denim,A,IR Thrifty Vintage (Fleek)
189,Verkauft,"14,11 €",09.03.2026,,"19,99 €",09.03.2026,"5,88 €",142%,0,"flared, Japan Style",Denim,A,Retroesthetic (Fleek)
190,Verkauft,"14,11 €",09.03.2026,,"19,99 €",13.03.2026,"5,88 €",142%,4,"flared, Japan Style",Denim,A,Retroesthetic (Fleek)
191,Listed,"14,11 €",13.03.2026,,,,"-14,11 €",,,"flared, Japan Style",Denim,A,vintage libary (Fleek)
192,Listed,"14,11 €",05.03.2026,,,,"-14,11 €",,,"flared, Japan Style",Denim,A,vintage libary (Fleek)
193,Listed,"14,11 €",05.03.2026,,,,"-14,11 €",,,"flared, Japan Style",Denim,A,vintage libary (Fleek)
194,Verkauft,"14,11 €",06.03.2026,,"23,00 €",06.03.2026,"8,89 €",163%,0,"flared, Japan Style",Denim,A,vintage libary (Fleek)
195,Verkauft,"14,11 €",09.03.2026,,"19,99 €",23.03.2026,"5,88 €",142%,14,"flared, Japan Style",Denim,A,Italian Dream (Fleek)
196,Verkauft,"65,00 €",21.02.2026,,"70,00 €",24.02.2026,"5,00 €",108%,3,Baby Keem,Ticket,,
197,Verkauft,"65,00 €",21.02.2026,,"94,00 €",21.03.2026,"29,00 €",145%,28,Baby Keem,Ticket,,
199,Listed,"30,20 €",22.03.2026,,,,"-30,20 €",,,True Religon,Denim,A,Creed Vintage (Fleek)
